Protein Domain,AI Domain,Degree,Betweeness,Eigen Closness,Trails,Drugs,Cosmic,Cancer gene,Publications,Class
0,0,0.013157895,6.98E-05,1.37E-04,1,0,1,1,0.00231696,1
0,0,0.028947368,0.000651351,1.50E-04,0,0,0,1,0,1
1,0,0.109210526,0.016666667,2.67E-04,0,0,1,1,0.000463392,1
0,0,0.028947368,0.003774775,5.67E-05,0,0,1,1,0.005097312,1
0.5,0,0.253947368,0.071284895,0.001056023,0,0,1,1,0.02734013,1
0,0,0.142105263,0.023423423,2.35E-04,0,0,0,1,0.008341057,1
0.5,0,0.098684211,0.015495495,3.40E-04,0,0,1,1,0.000463392,1
0,0,0.180263158,0.060030961,0.001115631,0,0,1,1,0.001853568,1
0,0,0.013157895,0.001081081,1.07E-05,0,0,0,1,0.002780352,1
0,0,0.101315789,0.015045045,1.21E-04,0,0,0,1,0.004170528,1
0,0,0.005263158,2.95E-05,9.54E-06,0,0,1,1,0.000926784,1
1,1,0.225,0.035945946,3.77E-04,0,0,1,1,0.000926784,1
0,0,0.2,0.004654174,0.002904153,1,1,1,1,0.010194625,1
0,0,0.060526316,0.001333333,6.51E-04,0,0,1,1,0,1
0,0,0.010526316,0.000200901,1.36E-05,0,0,0,1,0,1
0,0,0.030263158,0.001207207,2.75E-04,0,0,1,1,0.001390176,1
0,0,0.207894737,0.055255901,0.00137334,0,0,0,1,0.056070436,1
0,0,0.040789474,0.004593033,0.001031529,0,0,1,1,0.004170528,1
0,0,0.003947368,0.001792793,3.16E-06,0,0,0,1,0.00231696,1
0,0,0.026315789,0.001648649,8.38E-05,0,0,1,1,0.003707136,1
0.25,0,0.063157895,0.006369369,8.54E-04,0,0,1,1,0.003243744,1
0.166666667,0,0.044736842,0.002522523,9.21E-04,0,0,0,1,0.00231696,1
0,0,0.061842105,0.000159459,5.69E-04,0,0,1,1,0.001390176,1
0,0,0.206578947,0.093039182,0.010506517,1,0,1,1,0.005560704,1
0.285714286,0,0.139473684,0.006846847,5.04E-04,1,0,1,1,0.050973123,1
0,0,0.013157895,0.000927928,2.93E-06,0,0,1,1,0,1
0,0,0.036842105,4.67E-05,1.00E-04,0,0,1,1,0.000463392,1
1,0,0.027631579,0.003702703,2.84E-05,0,0,1,1,0,1
0,0,0.026315789,0.000918919,2.23E-05,0,0,0,1,0.000926784,1
0.5,0,0.032894737,0.002351351,1.05E-04,0,0,0,1,0,1
0,0,0.060526316,0.00023964,7.25E-04,0,0,0,1,0.000463392,1
1,0,0.040789474,0.000743243,3.94E-05,0,0,0,1,0.000463392,1
0,0,0.015789474,0.001081081,4.92E-06,0,0,1,1,0,1
0,0,0.105263158,0.027837838,2.74E-04,0,0,1,1,0.000926784,1
0,0,0.021052632,0.003045045,4.52E-04,0,0,0,1,0.000463392,1
0,0,0.125,0.017747748,2.31E-04,0,0,1,1,0.025949954,1
0,0,0.196052632,0.029347297,0.001052404,0,0,1,1,0.037071362,1
1,0,0.007894737,8.50E-05,3.59E-06,1,0,1,1,0.006024096,1
0,0,0.022368421,0.00090991,4.69E-05,1,0,1,1,0.001853568,1
0.228571429,0,0.006578947,0.000278378,1.39E-04,0,0,0,1,0.010658017,1
0,0,0.180263158,0.021201245,0.001463198,0,0,1,1,0.005560704,1
0,0,0.014473684,0.000218919,2.57E-05,0,0,1,1,0.000463392,1
0,0,0.022368421,9.37E-05,1.10E-05,0,0,1,1,0,1
0.5,0,0.128947368,0.009099099,4.21E-04,1,1,1,1,0.012048193,1
0,0,0.002631579,9.73E-05,5.63E-06,0,0,0,1,0.001390176,1
0,0,0.152631579,0.006,2.07E-04,0,0,0,1,0.00463392,1
0,0,0.105263158,0.007414414,6.86E-04,0,0,0,1,0.000463392,1
1,0,0.003947368,0.000158559,4.75E-06,0,0,1,1,0,1
0.6,0,0.198684211,0.009052252,0.001859351,0,0,0,1,0.001390176,1
0,0,0.131578947,0.006009009,4.27E-04,1,1,1,1,0.008341057,1
0,0,0.039473684,0.001153153,1.17E-04,0,0,1,1,0.00463392,1
1,0,0.011842105,0,3.50E-07,0,0,0,1,0,1
1,0,0.101315789,0.027657658,7.06E-04,1,0,1,1,0.001853568,1
0.666666667,0,0.122368421,0.022162162,4.72E-04,0,0,0,1,0.000926784,1
0.333333333,0,0.165789474,0.022972973,5.37E-04,1,1,1,1,0.133456905,1
0,0,0.013157895,0.000163964,1.17E-05,0,0,0,1,0.000926784,1
0.538461538,0,0.061842105,0.008666667,7.57E-05,1,0,0,1,0.00231696,1
0,0,0.034210526,0.007558559,1.11E-04,0,0,1,1,0.035681186,1
0,0,0.196052632,0.006612613,4.40E-04,1,0,1,1,0.015755329,1
1,0,0.130263158,0.018738739,3.76E-04,0,0,0,1,0,1
0,0,0.148684211,0.016396396,7.00E-04,0,0,1,1,0.001853568,1
1,0,0.034210526,0.01018018,4.47E-05,0,0,0,1,0.000463392,1
0,0,0.048684211,0.001594595,1.11E-04,1,0,1,1,0.002780352,1
0,0,0.127631579,9.36E-05,0.002727692,0,0,0,1,0,1
0,0,0.009210526,0.00026036,4.04E-04,0,0,1,1,0.00231696,1
0,0,0.055263158,0.012882883,2.29E-04,0,0,0,1,0.000463392,1
0,0,0.088157895,0.011101029,0.001025721,0,0,0,1,0,1
0,0,0.097368421,0.018108108,2.30E-04,0,0,0,1,0.000463392,1
0,1,0.081578947,0.023243243,1.39E-04,0,0,1,1,0.000926784,1
0.5,0,0.134210526,0.028558559,6.89E-04,0,0,1,1,0.00231696,1
1,0,0.042105263,0.000127928,1.36E-05,0,0,0,1,0.000926784,1
0,0,0.106578947,0.008594595,4.86E-04,0,0,0,1,0.00231696,1
0,0,0.042105263,0.005324324,3.52E-05,1,0,1,1,0.008804449,1
1,0,0.167105263,0.052505901,0.005585878,0,0,0,1,0.011584801,1
1,0,0.042105263,0.000156757,1.38E-04,1,0,0,1,0.007414272,1
0,0,0.109210526,0.007574474,0.001127065,0,0,1,1,0.000463392,1
0.071428571,0,0.031578947,0.002873874,4.07E-05,0,0,1,1,0.001853568,1
0,0,0.017105263,0.000397297,1.57E-04,0,0,0,1,0.000463392,1
0,0,0.026315789,0.002711712,1.01E-04,0,0,1,1,0.001390176,1
0,0,0.027631579,0.001324324,3.42E-05,0,0,0,1,0,1
0.571428571,0,0.130263158,0.00709009,7.72E-04,1,1,1,1,0.012974977,1
0,0,0.093421053,0.025945946,9.99E-05,0,0,1,1,0.001853568,1
0,0,0.003947368,1.89E-05,8.36E-07,0,0,0,1,0,1
0,0,0.019736842,0.000787387,2.04E-05,0,0,1,1,0.000926784,1
0,0,0.068421053,0.00427027,2.91E-04,0,0,1,1,0,1
0,0,0.019736842,0.000818018,1.67E-05,0,0,0,1,0.009731233,1
0,0,0.035526316,0.00981982,8.55E-05,0,0,0,1,0.000463392,1
0,0,0.356578947,0.137320321,0.001198936,0,0,0,1,0.000463392,1
0,0,0.177631579,0.011981982,2.94E-04,1,0,0,1,0.000463392,1
0,0,0.182894737,0.052162162,7.93E-04,0,0,0,1,0.003707136,1
0.784313725,0,0.117105263,0.035855856,5.62E-04,0,0,1,1,0.006487488,1
0,0,0.007894737,4.63E-05,8.64E-06,0,0,0,1,0,1
0,0,0.034210526,0.010900901,1.03E-04,0,0,1,1,0.000463392,1
1,0,0.080263158,0.009459459,5.78E-04,1,0,1,1,0.033364226,1
1,0,0.051315789,0.001459459,8.10E-05,0,0,0,1,0.003707136,1
0,0,0.002631579,0,3.13E-08,0,0,1,1,0.000926784,1
0,0,0.010526316,0.000497297,4.83E-06,0,0,1,1,0.003243744,1
0,0,0.063157895,0.001387387,2.26E-04,0,0,1,1,0.016218721,1
0,0,0.102631579,0.026936937,4.94E-04,1,1,1,1,0.005560704,1
0,0,0.006578947,3.10E-05,1.11E-05,0,0,1,1,0,1
0.064516129,0,0.231578947,0.065443483,0.002059764,1,1,1,1,0.493512512,1
0.8,0,0.044736842,0.012792793,1.17E-04,0,0,1,1,0.009731233,1
0,0,0.007894737,0.00024955,2.82E-07,0,0,0,1,0.000926784,1
1,0,0.169736842,0.024414414,8.01E-04,0,0,0,1,0.003243744,1
0.142857143,0,0.036842105,0.005189189,1.15E-05,0,0,1,1,0,1
0,0,0.017105263,0.000736937,1.19E-04,0,0,1,1,0.001390176,1
0.289473684,1,0.297368421,0.104263363,0.001664473,1,1,1,1,0.096848934,1
0,0,0.023684211,0.004315315,8.44E-05,0,0,1,1,0.00463392,1
0,0,0.069736842,0.010720721,2.15E-04,0,0,0,1,0.000463392,1
0,0,0.055263158,0.006522523,5.11E-05,0,0,1,1,0.00231696,1
0.5,1,0.197368421,0.023877162,0.001015933,1,0,0,1,0.048656163,1
0,0,0.053947368,0.000697297,5.62E-04,1,0,1,1,0,1
0,0,0.167105263,0.00954955,3.67E-04,1,1,1,1,0.006024096,1
0,0,0.044736842,0.00990991,8.02E-06,0,0,0,1,0,1
0.666666667,0,0.147368421,0.012972973,6.78E-04,1,0,0,1,0.005097312,1
0.5,0,0.071052632,0.000707568,0.01864187,0,0,0,1,0,1
0,0,0.002631579,1.51E-05,2.36E-06,0,0,1,1,0,1
0,0,0.125,0.013963964,6.69E-04,1,0,1,1,0.009731233,1
1,0,0.217105263,0.028018018,8.84E-04,0,0,0,1,0.001390176,1
0,0,0.056578947,0.000410811,2.55E-05,0,0,0,1,0.006024096,1
1,0,0.018421053,0.003486486,8.82E-06,0,0,1,1,0,1
0,0,0.039473684,0.003036036,3.35E-04,0,0,0,1,0.000463392,1
0,0,0.028947368,0.000100901,2.46E-05,0,0,0,1,0.001390176,1
0,0,0.035526316,0.001009009,1.93E-04,0,0,1,1,0.00231696,1
0,0,0.165789474,0.02018018,8.87E-04,0,0,0,1,0.009731233,1
0,0,0.092105263,0.005234234,2.35E-04,0,0,0,1,0.001853568,1
0.189189189,0,0.053947368,0.007,4.27E-04,0,0,1,1,0.005097312,1
0,0,0.161842105,0.016216216,9.42E-04,0,0,1,1,0.019925857,1
0,0,0.065789474,0.006216216,4.06E-04,0,0,1,1,0.000926784,1
0.25,0,0.1,0.005081081,1.59E-04,1,0,1,1,0.014365153,1
0,0,0.001315789,0,5.36E-07,0,0,0,1,0.000463392,1
1,0,0.05,0.001747748,4.44E-05,1,0,1,1,0,1
0.333333333,0,0.026315789,0.003675676,2.05E-05,0,0,0,1,0.000926784,1
0,0,0.138157895,0.006306306,3.34E-04,1,0,0,1,0.002780352,1
0,0,0.055263158,0.007774775,2.11E-05,0,0,1,1,0.00231696,1
0,0,0.134210526,0.014864865,9.10E-04,1,0,0,1,0.003707136,1
0.5,0,0.018421053,0.0006,2.15E-05,1,0,1,1,0,1
0,0,0.044736842,0.005153153,6.90E-04,1,1,1,1,0.004170528,1
1,0,0.003947368,0.000884685,1.19E-05,0,0,1,1,0.003707136,1
0,0,0.047368421,0.000649369,0.001033206,0,0,1,1,0.001853568,1
0,0,0.043421053,0.00327027,1.49E-05,0,0,0,1,0,1
0,0,0.051315789,0.001432432,2.87E-04,1,0,1,1,0.000463392,1
0,0,0.021052632,0.00336036,1.60E-05,0,0,0,1,0.008341057,1
0,0,0.139473684,0.000160665,0.002813845,0,0,0,1,0,1
0,0,0.096052632,0.004163724,0.008872501,0,0,1,1,0.000463392,1
0.615384615,0,0.006578947,4.02E-05,6.14E-05,0,0,1,1,0,1
1,0,0.121052632,0.011981982,1.09E-04,0,0,0,1,0.000463392,1
1,0,0.055263158,0.001261261,4.52E-04,1,0,1,1,0.008804449,1
0,0,0.092105263,0.009009009,1.35E-04,1,0,0,1,0.001853568,1
0.375,0,0.046052632,0.000897297,3.27E-04,0,0,0,1,0,1
0.2,0,0.046052632,0.031981982,2.95E-05,0,0,0,1,0,1
0,0,0.207894737,0.042162162,5.57E-04,0,0,0,1,0.02734013,1
0,0,0.176315789,0.023339459,0.001129954,0,1,1,1,0.000463392,1
1,0,0.061842105,0.005216216,4.17E-05,0,0,0,1,0.012048193,1
0,0,0.089473684,0.015495495,2.15E-04,0,0,0,1,0.005560704,1
0,0,0.022368421,6.70E-05,1.93E-04,0,0,0,1,0,1
1,0,0.151315789,0.035422028,0.001491323,0,0,0,1,0.00231696,1
1,0,0.042105263,0.00372973,3.71E-05,0,0,1,1,0.000926784,1
1,0,0.063157895,0.006135135,3.07E-04,0,0,1,1,0.001390176,1
1,0,0.040789474,0.001199369,0.001293439,0,0,0,1,0,1
0,0,0.072368421,0.015225225,3.06E-04,1,1,1,1,0.007414272,1
0,0,0.214473684,0.000411831,0.00240107,0,0,0,1,0,1
0.035714286,0,0.096052632,0.007939399,0.004210054,0,0,1,1,0.003707136,1
0.333333333,0,0.243421053,0.034234234,6.44E-04,0,0,1,1,0.000463392,1
0,0,0.071052632,0.002811924,0.001011911,0,0,1,1,0.000926784,1
0,0,0.164473684,0.035405405,9.22E-04,1,0,1,1,0.170528267,1
0,0,0.021052632,0.000305405,4.36E-05,0,0,1,1,0.000463392,1
0,1,0.046052632,0.016576577,8.28E-05,0,0,1,1,0.001390176,1
0,0,0.047368421,0.00436036,1.72E-04,0,0,0,1,0.000926784,1
1,0,0.022368421,0.000231532,1.72E-04,0,0,1,1,0.000926784,1
0,0,0.027631579,0.006666667,9.42E-06,1,0,0,1,0.005097312,1
0,0,0.019736842,0.000213514,8.36E-05,0,0,0,1,0,1
1,0,0.023684211,0.001576577,7.55E-05,0,0,1,1,0.010194625,1
0,0,0.039473684,0.002038829,0.009120157,0,0,1,1,0.000926784,1
1,0,0.030263158,0.00309009,1.44E-04,0,0,0,1,0.000463392,1
1,0,0.018421053,0.001801802,1.07E-05,1,1,1,1,0.005097312,1
0,1,0.046052632,0.004423423,1.88E-04,0,0,0,1,0.008804449,1
0,0,0.015789474,0.002531532,7.09E-05,0,0,1,1,0,1
0,0,0.072368421,0.001531532,7.57E-05,0,0,1,1,0,1
0.2,0,0.001315789,0,8.13E-06,0,0,1,1,0,1
0,0,0.035526316,0.011891892,3.66E-04,0,0,1,1,0.000926784,1
1,0,0.076315789,0.003738739,1.12E-04,0,0,0,0,0.000463392,-1
0.5,0,0.034210526,0.00245045,5.66E-06,0,0,0,0,0,-1
0,0,0.330263158,0.073042492,0.003238757,0,0,0,0,0.001853568,-1
0,0,0.002631579,1.33E-05,9.33E-07,0,0,0,0,0.000926784,-1
0,0,0.010526316,0.000589189,2.96E-06,0,0,0,0,0,-1
0,0,0.006578947,0.001756757,5.26E-06,0,0,0,0,0,-1
0.857142857,0,0.046052632,0.002882883,2.35E-04,0,0,0,0,0.001853568,-1
0,0,0.036842105,0.000151351,1.33E-04,0,0,0,0,0,-1
0.827586207,0,0.039473684,0.001225225,1.28E-04,0,0,0,0,0,-1
0.5,0,0.082894737,0.00318018,4.15E-05,0,0,0,0,0.001390176,-1
0,0,0.196052632,0.017411577,0.019235261,0,0,0,0,0,-1
0,0,0.001315789,0,1.52E-10,0,0,0,0,0,-1
0,0,0.001315789,0,7.03E-10,0,0,0,0,0,-1
1,0,0.001315789,0,1.95E-05,0,0,0,0,0,-1
1,0,0.027631579,0.000348649,3.08E-04,0,0,0,0,0,-1
1,0,0.056578947,0.001027027,1.31E-05,0,0,0,0,0,-1
0,0,0.028947368,0.003846847,1.03E-05,0,0,0,0,0,-1
0,0,0.006578947,2.68E-05,3.10E-04,0,0,0,0,0.000463392,-1
0.448275862,0,0.031578947,0.003873874,1.06E-05,0,0,0,0,0,-1
0,0,0.003947368,0,1.05E-33,0,0,0,0,0,-1
0.50965251,0,0.018421053,0.01027027,9.75E-05,0,0,0,0,0,-1
0,0,0.036842105,0.004585586,8.37E-06,0,0,0,0,0,-1
0,0,0.017105263,5.55E-05,5.07E-05,0,0,0,0,0,-1
0,0,0.001315789,0,5.68E-08,0,0,0,0,0,-1
0,0,0.238157895,0.010997297,0.019674078,0,0,0,0,0,-1
0,0,0.002631579,1.82E-05,4.04E-06,0,0,0,0,0.006487488,-1
0.725,0,0.107894737,0.002858559,0.032326246,0,0,0,0,0,-1
0,0,0.018421053,0.002594595,5.08E-06,0,0,0,0,0.000926784,-1
0.2,0,0.007894737,0,3.10E-05,0,0,0,0,0.000463392,-1
0.166666667,0,0.046052632,0.006531532,2.66E-04,0,0,0,0,0.001390176,-1
1,0,0.003947368,7.39E-06,5.60E-05,0,0,0,0,0,-1
0,0,0.002631579,0,4.37E-04,0,0,0,0,0,-1
0.5,0,0.019736842,0.001504505,2.10E-06,0,0,0,0,0,-1
0,0,0.001315789,0,9.04E-09,0,0,0,0,0,-1
0,0,0.013157895,0.003216216,3.79E-06,0,0,0,0,0.000463392,-1
0.714285714,0,0.027631579,0.000610811,9.26E-06,0,0,0,0,0,-1
0,0,0.002631579,0,2.89E-07,0,0,0,0,0,-1
0,0,0.052631579,0.000158559,8.30E-04,0,0,0,0,0,-1
0,0,0.023684211,6.49E-05,6.26E-05,0,0,0,0,0,-1
1,0,0.081578947,0.00336036,2.85E-04,0,0,0,0,0,-1
1,0,0.022368421,0.000779279,1.94E-04,0,0,0,0,0,-1
0,0,0.009210526,0,4.30E-07,0,0,0,0,0.001390176,-1
0,0,0.007894737,7.86E-05,2.55E-06,0,0,0,0,0.000926784,-1
0,0,0.051315789,0.008567568,3.79E-05,0,0,0,0,0,-1
0,1,0.317105263,0.125448195,0.005033296,0,0,0,0,0.000463392,-1
0.333333333,0,0.014473684,0.000830631,3.97E-04,0,0,0,0,0,-1
0.333333333,0,0.022368421,3.60E-06,4.45E-05,0,0,0,0,0,-1
0,0,0.094736842,0.018828829,4.95E-04,0,0,0,0,0.000463392,-1
0,0,0.064473684,0.00990991,3.82E-05,0,0,0,0,0,-1
1,0,0.023684211,0.000327928,3.53E-05,0,0,0,0,0,-1
0.166666667,0,0.05,0.008540541,1.25E-04,0,0,0,0,0,-1
0.25,0,0.036842105,0.000872973,3.56E-05,0,0,0,0,0,-1
0.6,0,0.002631579,0.000257658,3.40E-06,0,0,0,0,0.000926784,-1
0.5,0,0.076315789,0.000331532,7.91E-05,0,0,0,0,0,-1
0,0,0.092105263,0.006225225,3.81E-04,0,0,0,0,0,-1
0,0,0.011842105,8.27E-05,3.40E-05,0,0,0,0,0.000463392,-1
0,0,0.063157895,0.006797009,0.014715924,0,0,0,0,0.000463392,-1
0.585365854,0,0.018421053,0.000857658,1.28E-05,0,0,0,0,0,-1
0,0,0.014473684,0.002774775,3.41E-06,0,0,0,0,0.000926784,-1
0,0,0.051315789,0.00854955,4.42E-05,0,0,0,0,0.001853568,-1
0.0625,0,0.114473684,0.001018018,1.63E-04,0,0,0,0,0.00695088,-1
0,0,0.055263158,0.004414414,8.75E-06,0,0,0,0,0,-1
0.288888889,0,0.097368421,0.023153153,6.23E-04,0,0,0,0,0.001390176,-1
0,0,0.005263158,1.32E-05,5.93E-05,0,0,0,0,0,-1
0,0,0.002631579,2.81E-05,9.43E-09,0,0,0,0,0.00231696,-1
0,0,0.088157895,0.002432432,6.38E-05,0,0,0,0,0.001390176,-1
0.5,0,0.135526316,0.000698829,0.017352953,0,0,0,0,0,-1
1,0,0.005263158,6.36E-05,1.48E-06,0,0,0,0,0,-1
0.4,0,0.001315789,0,1.49E-09,0,0,0,0,0,-1
1,0,0.002631579,0,5.80E-07,0,0,0,0,0,-1
0,0,0.003947368,0.000602703,2.42E-05,0,0,0,0,0,-1
0,0,0.013157895,0.001324324,1.37E-05,0,0,0,0,0.000463392,-1
0,0,0.011842105,5.59E-06,9.44E-06,0,0,0,0,0,-1
0,0,0.063157895,0.008396396,2.71E-05,0,0,0,0,0,-1
0.5,0,0.056578947,0.002018018,1.52E-04,0,0,0,0,0.001390176,-1
0,0,0.048684211,0.000153153,1.28E-04,0,0,0,0,0,-1
0.5,0,0.092105263,0.018558559,1.21E-04,0,0,0,0,0.001390176,-1
0,0,0.023684211,0.003477477,2.37E-04,0,0,0,0,0.001853568,-1
0,0,0.090789474,0.015315315,6.67E-04,0,0,0,0,0.001390176,-1
0.5,0,0.044736842,0.002576577,1.40E-04,0,0,0,0,0.014828545,-1
0,0,0.009210526,0.000478378,1.41E-06,0,0,0,0,0,-1
0,0,0.001315789,0,1.15E-08,0,0,0,0,0.000926784,-1
0,0,0.005263158,1.66E-05,3.75E-05,0,0,0,0,0,-1
0.5,0,0.064473684,0.002333333,1.98E-04,0,0,0,0,0,-1
0,0,0.026315789,0.00318018,2.92E-05,0,0,0,0,0,-1
1,0,0.018421053,0.000767568,9.00E-07,0,0,0,0,0.000463392,-1
1,0,0.005263158,0,1.53E-06,0,0,0,0,0.000463392,-1
1,0,0.043421053,0.004225225,6.68E-05,0,0,0,0,0.000463392,-1
1,0,0.036842105,2.61E-05,5.20E-06,0,0,0,0,0,-1
1,0,0.009210526,0.000432432,1.30E-05,0,0,0,0,0.001390176,-1
0,0,0.05,0.004531532,5.50E-04,0,0,0,0,0.001853568,-1
0,0,0.001315789,0,1.36E-07,0,0,0,0,0,-1
1,0,0.005263158,3.12E-05,2.67E-06,0,0,0,0,0.000926784,-1
0,0,0.131578947,0.018468468,1.10E-04,0,0,0,0,0,-1
0,0,0.001315789,0,1.43E-05,0,0,0,0,0,-1
0,0,0.002631579,0,6.09E-04,0,0,0,0,0,-1
1,0,0.005263158,4.05E-05,7.41E-06,0,0,0,0,0.000463392,-1
1,0,0.005263158,1.59E-05,6.62E-06,0,0,0,0,0,-1
0,0,0.080263158,0.005792793,4.19E-04,0,0,0,0,0,-1
0,0,0.039473684,0.000754054,1.75E-04,0,0,0,0,0,-1
0,0,0.022368421,0.002036036,1.65E-04,0,0,0,0,0.000463392,-1
0,0,0.046052632,0.004342342,1.37E-05,0,0,0,0,0,-1
0,0,0.006578947,0.0001,8.96E-06,0,0,0,0,0,-1
1,0,0.132894737,0.003720721,4.30E-04,0,0,0,0,0.002780352,-1
0,0,0.002631579,0,3.25E-06,0,0,0,0,0,-1
0,0,0.001315789,0,1.80E-06,0,0,0,0,0,-1
0,0,0.002631579,0,2.18E-07,0,0,0,0,0,-1
0,1,0.110526316,0.015135135,4.44E-04,0,0,0,0,0.007414272,-1
0,0,0.001315789,0,1.50E-07,0,0,0,0,0,-1
0,0,0.026315789,0.000245045,6.52E-06,0,0,0,0,0,-1
0,0,0.026315789,6.60E-05,1.08E-05,0,0,0,0,0,-1
0,0,0.001315789,0,2.07E-06,0,0,0,0,0,-1
0,0,0.017105263,0.000607207,3.60E-05,0,0,0,0,0,-1
0.5,0,0.046052632,0.007585586,1.20E-04,0,0,0,0,0.002780352,-1
0,0,0.003947368,0,3.28E-07,0,0,0,0,0,-1
1,0,0.001315789,0,1.32E-06,0,0,0,0,0.001390176,-1
0.666666667,0,0.002631579,0,1.91E-05,0,0,0,0,0,-1
0,0,0.023684211,0.005495495,1.43E-04,0,0,0,0,0.001390176,-1
0,0,0.009210526,0.000416216,2.11E-05,0,0,0,0,0.000463392,-1
0,0,0.028947368,0.000738739,1.73E-05,0,0,0,0,0,-1
0,0,0.010526316,1.98E-06,2.08E-05,0,0,0,0,0,-1
0.047619048,0,0.019736842,0.003567568,4.67E-06,0,0,0,0,0,-1
0,0,0.032894737,0.004063063,6.22E-05,0,0,0,0,0.000463392,-1
0,0,0.006578947,9.46E-05,1.02E-05,0,0,0,0,0.000926784,-1
0,0,0.003947368,1.86E-05,1.48E-05,0,0,0,0,0,-1
0,0,0.022368421,0.000820721,6.70E-06,0,0,0,0,0,-1
0,0,0.076315789,0.000527027,7.91E-05,0,0,0,0,0,-1
1,0,0.088157895,0.022342342,2.00E-04,0,0,0,0,0.022242817,-1
1,0,0.005263158,0,2.44E-08,0,0,0,0,0,-1
0,0,0.063157895,0.003279279,9.27E-05,0,0,0,0,0,-1
0,0,0.003947368,1.06E-05,9.60E-07,0,0,0,0,0,-1
0.333333333,0,0.025,0.00645045,3.46E-05,0,0,0,0,0.000463392,-1
0.333333333,0,0.015789474,0.001315315,3.36E-06,0,0,0,0,0,-1
1,0,0.019736842,0.003657658,8.82E-06,0,0,0,0,0,-1
0,0,0.017105263,0.000507207,9.18E-04,0,0,0,0,0.000926784,-1
0,1,0.038157895,0.002018018,1.16E-04,0,0,0,0,0.00231696,-1
0,0,0.046052632,0.006045045,1.26E-05,0,0,0,0,0,-1
0,0,0.013157895,0.00181982,4.03E-04,0,0,0,0,0.000926784,-1
0,0,0.001315789,0,3.31E-06,0,0,0,0,0,-1
1,0,0.001315789,0,5.34E-08,0,0,0,0,0.000463392,-1
0,0,0.057894737,0.006828829,3.83E-05,0,0,0,0,0.000463392,-1
0,0,0.001315789,0,2.95E-07,0,0,0,0,0.000463392,-1
1,0,0.072368421,0.000900901,3.49E-05,0,0,0,0,0,-1
1,0,0.036842105,0.007548859,0.002741764,0,0,0,0,0,-1
1,0,0.131578947,0.002563093,0.013645798,0,0,0,0,0,-1
0,0,0.027631579,0.012792793,1.52E-05,0,0,0,0,0.001390176,-1
0.3125,0,0.003947368,0.002333333,6.93E-05,0,0,0,0,0,-1
0.5,0,0.027631579,0,4.96E-06,0,0,0,0,0.000463392,-1
0,0,0.064473684,0.000263063,1.69E-05,0,0,0,0,0,-1
0,0,0.014473684,1.20E-07,2.44E-05,0,0,0,0,0,-1
